,store,si-do-gu,address, phone
0,대구팔달교DT점,대구 서구,대구광역시 서구 팔달로 34,053-354-1212
1,인천공항교통센터점,인천 중구,"인천광역시 중구 공항로 272 (운서동, 인천공항) 인천국제공항 제1여객터미널 지하1층(실번호 2-32-07)",032-743-3718
2,제주애월천덕로점,제주 제주시,제주특별자치도 제주시 애월읍 천덕로 238-1 다동 1층,064-799-6667
3,대구장기점,대구 달서구,대구광역시 달서구 장기로 268 (장기동) 1~2층,053-522-0666
4,부산연산점,부산 연제구,부산광역시 연제구 반송로 89 (연산동) 1층,051-989-3296
5,김천혁신도시점,경북 김천시,경상북도 김천시 혁신로 246 (율곡동) 1층,054-433-4333
6,평촌점,경기 안양시 동안구,"경기도 안양시 동안구 관평로170번길 43 (관양동, 훼미리타운) 1층",031-385-3400
7,남동케이원점 ,인천 남동구,"인천광역시 남동구 비류대로 622 (남촌동) 남동산단케이원 1층 105,106,108호 (남촌동)",032-821-9110
8,구미CGV점,경북 구미시,"경상북도 구미시 구미중앙로 44 (원평동, 멀티복합상가) 원평동68-1, 1층",054-604-0375
9,왕십리역점,서울 성동구,"서울특별시 성동구 왕십리광장로 17 (행당동, 왕십리민자역사) 비트플렉스몰 3층 영풍문고 내",02-2200-1303
10,울산정자해변점,울산 중구,울산광역시 북구 동해안로 1544 (정자동) 1층~2층,052-281-0620
11,부산서면일번가점,부산 부산진구,부산광역시 부산진구 서면로68번길 52 (부전동) 1층,051-819-1449
12,강릉안목해변점,강원 강릉시,"강원특별자치도 강릉시 창해로14번길 34-1 (견소동) 견소동283-6,견소동132",070-7575-0184
13,경주용강DT점,경북 경주시,"경상북도 경주시 산업로 4510 (용강동, 용강주유소) .",070-7575-0185
14,군산수송점,전북 군산시,"전라북도 군산시 수송북로 22 수송동 831-1,1층",063-467-9500
15,광주운암점,광주 북구,광주광역시 북구 북문대로 184 (운암동) .,062-531-7711
16,이천축산농협점,경기 이천시,경기도 이천시 구만리로 107 (진리동) .,031-635-6694
17,구리돌다리점,경기 구리시,경기도 구리시 경춘로227번길 14 (인창동) 1층,031-564-4565
18,소월아트홀점,서울 성동구,서울특별시 성동구 왕십리로 275-1 (행당동) .,02-2294-7002
19,송파거여역점,서울 송파구,"서울특별시 송파구 오금로 513 (거여동, 위례빌딩) .",02-449-6232
