시군구,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
충청남도 천안시서북구 백석동,호반리젠시빌,84.9775,16,"27,000",5,2003,백석2길 40
전북특별자치도 전주시완산구 효자동2가,세븐팰리스 데시앙,84.99,16,"36,000",1,2013,우전로 180
경상남도 통영시 정량동,삼익,84.96,16,"9,500",9,1987,항북길 12-27
충청북도 영동군 영동읍 매천리,골든렉시움,84.8466,16,"31,800",8,2024,반곡동길 31
경상북도 구미시 고아읍 원호리,원호한누리타운2,59.96,16,"7,200",5,1997,문장로22길 40
대구광역시 중구 수창동,대구역센트럴자이,84.6421,16,"46,500",14,2017,서성로 99
강원특별자치도 강릉시 주문진읍 교항리,우신그린피아임대,49.86,16,"6,800",13,1999,보리골길 26
경상북도 구미시 형곡동,금마주택931,83.75,16,"5,400",3,1993,형곡로12길 22
충청북도 영동군 영동읍 매천리,골든렉시움,84.8466,16,"31,800",9,2024,반곡동길 31
충청북도 영동군 영동읍 매천리,골든렉시움,84.8466,16,"29,800",4,2024,반곡동길 31
부산광역시 남구 문현동,베스티움,59.9849,16,"40,000",10,2019,고동골로 29
전북특별자치도 익산시 영등동,삼성청복타운,42.42,16,"3,900",2,1998,고봉로16길 22
강원특별자치도 춘천시 동내면 거두리,부영1차,84.9763,16,"24,500",8,2003,춘천순환로94번길 12
경상남도 진주시 상대동,현대,117.84,16,"18,000",12,1991,모덕로181번길 7
부산광역시 동구 초량동,초량베스티움센트럴베이,59.9823,16,"43,000",7,2021,홍곡로 37
전북특별자치도 전주시완산구 중노송동,우성해오름,58.5516,16,"14,300",2,2005,인봉남로 56
전라남도 광양시 중동,성호2차(206~215동),59.79,16,"6,300",5,2006,광장로 70
충청북도 충주시 용산동,용산주공1차,46.03,16,"14,745",4,1983,거룡2길 17
강원특별자치도 원주시 관설동,청솔8차,59.85,16,"11,300",14,2002,나비허리길 188
전북특별자치도 전주시덕진구 송천동2가,에코시티더샵2차,100.97,16,"72,000",9,2018,세병로 175
경상북도 구미시 진평동,남경앳홈비앙채,26.4449,16,"5,700",10,2014,삼일로 18
대구광역시 동구 신암동,강남,31.59,16,"9,000",8,1992,신성로 60
경상남도 창원시의창구 동읍 용잠리,삼진,52.15,16,"3,550",5,1989,의창대로915번길 8
전라남도 화순군 화순읍 삼천리,힐스테이트화순2차,84.9814,16,"37,000",23,2024,시장길 13
충청북도 청주서원구 모충동,청주모충LH트릴로채,59.96,16,"27,500",7,2021,쌍샘로 22
전북특별자치도 전주시완산구 동서학동,대산아파트,59.95,16,"4,000",2,1992,학봉2길 18
강원특별자치도 원주시 태장동,금광포란재1단지,84.961,16,"17,000",8,2006,포란재로 36
충청남도 당진시 채운동,당진채운동양우내안애아파트,59.9726,16,"15,750",9,2018,백암로 99
경상남도 창원시마산합포구 현동,엘에이치그린품애,84.95,16,"22,400",9,2015,묘촌1길 28
