Unnamed: 0,번호,제목,저자,출판사,출판일
,1,AI and the French National Railway,"Suel, P.","KNOWLEDGE TECHNOLOGY, INC.",1994
,2,"AI Meets Web 2.0: Building the Web of Tomorrow, Today","Tenenbaum, J. M.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2006
,3,AI in Business and Management: Intelligent systems for the legal profession,"Warkentin, M. E.","KNOWLEDGE TECHNOLOGY, INC.",1994
,4,AI and Music: From Composition to Expressive Performance,"de Mantaras, R. L.; Arcos, J. L.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2002
,5,Companion Cognitive Systems: A Step toward Human-Level AI,"Forbus, K. D.; Hinrichs, T. R.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2006
,6,Using 4D/RCS to Address AI Knowledge Integration,"Schlenoff, C.; Albus, J.; Messina, E.; Barbera, A. J.; Madhavan, R.; Balakirsky, S.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2006
,7,A Perspective on AI Research in India,"Khemani, D.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2012
,8,AI Grand Challenges for Education,"Woolf, B.P.; Lane, H.C.; Chaudhri, V.K.; Kolodner, J.L.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2013
,9,Preference Handling in Combinatorial Domains: From AI to Social Choice,"Chevaleyre, Y.; Endriss, U.; Lang, J.; Maudet, N.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2008
,10,Short Biographies of Contributors to the AI & Society Birthday Issue,unknown,SPRINGER VERLAG KG,2007
,11,AI and HCI: Two Fields Divided by a Common Focus,"Grudin, J.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2009
,12,AI Bridges and Dreams,"Bundy, A.",SPRINGER VERLAG KG,2007
,13,AI and Accountability,"Narayanan, A.",SPRINGER VERLAG KG,2007
,14,NewsFinder: Automating an AI News Service,"Eckroth, J.; Dong, L.; Smith, R.G.; Buchanan, B.G.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2012
